iter	Passed	Remaining
1139	1809	6125
1140	1810	6124
1141	1812	6122
1142	1813	6120
1143	1815	6117
1144	1816	6117
1145	1819	6118
1146	1822	6120
1147	1823	6118
1148	1824	6115
1149	1826	6114
1150	1827	6112
1151	1829	6110
1152	1830	6108
1153	1832	6106
1154	1834	6105
1155	1835	6104
1156	1838	6105
1157	1839	6103
1158	1841	6102
1159	1842	6100
1160	1844	6098
1161	1845	6096
1162	1847	6094
1163	1849	6096
1164	1851	6095
1165	1853	6093
1166	1854	6091
1167	1856	6090
1168	1857	6088
1169	1859	6086
1170	1860	6084
1171	1862	6082
1172	1863	6080
1173	1865	6078
1174	1866	6076
1175	1867	6074
1176	1870	6074
1177	1871	6072
1178	1873	6070
1179	1874	6068
1180	1876	6068
1181	1877	6065
1182	1879	6063
1183	1880	6061
1184	1882	6060
1185	1883	6058
1186	1885	6056
1187	1886	6054
1188	1888	6052
1189	1889	6049
1190	1891	6047
1191	1892	6045
1192	1893	6043
1193	1895	6041
1194	1896	6039
1195	1898	6039
1196	1900	6037
1197	1901	6034
1198	1902	6032
1199	1904	6029
1200	1905	6027
1201	1907	6028
1202	1909	6025
1203	1910	6023
1204	1911	6021
1205	1913	6018
1206	1914	6017
1207	1916	6016
1208	1918	6014
1209	1919	6011
1210	1920	6009
1211	1922	6008
1212	1924	6008
1213	1925	6006
1214	1927	6004
1215	1928	6002
1216	1930	6000
1217	1931	5998
1218	1933	5996
1219	1934	5994
1220	1936	5992
1221	1937	5990
1222	1939	5988
1223	1940	5986
1224	1942	5985
1225	1943	5982
1226	1945	5983
1227	1947	5982
1228	1949	5980
1229	1950	5978
1230	1951	5975
1231	1953	5973
1232	1955	5974
1233	1956	5972
1234	1958	5971
1235	1960	5969
1236	1961	5968
1237	1963	5966
1238	1964	5964
1239	1966	5962
1240	1967	5960
1241	1969	5958
1242	1970	5955
1243	1972	5954
1244	1973	5952
1245	1975	5950
1246	1976	5948
1247	1978	5946
